url,http_code,final_url,final_ip,size,status
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8,200,http://39.134.18.162:80/wh7f454c46tw1053223060_1134477074/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=8150&online=1790328105&vqe=3,39.134.18.162,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8,200,http://39.134.18.169:80/wh7f454c46tw1053225659_347416813/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=8149&online=1790328105&vqe=3,39.134.18.169,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053224455_-264989871/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8,200,http://39.134.18.162:80/wh7f454c46tw1053226137_-770528903/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=8150&online=1790328105&vqe=3,39.134.18.162,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053225468_-454164752/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8,200,http://39.134.18.162:80/wh7f454c46tw1053226684_1951297314/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=8150&online=1790328105&vqe=3,39.134.18.162,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8,200,http://39.134.18.169:80/wh7f454c46tw1053228307_-1564139763/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=8149&online=1790328105&vqe=3,39.134.18.169,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053227468_-88468058/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053227459_-775908935/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8,200,http://39.134.18.169:80/wh7f454c46tw1053242675_1695957454/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=8149&online=1790328105&vqe=3,39.134.18.169,402,reachable
